value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
li7,𒌨,𒌨,,,𒌨,,,
li8,𒀖,𒀖,,,𒀖,,,
li9,𒉈,𒉈,𒉈,,𒉈,,,
lib,𒈜,,𒈜,𒈜,𒈜,𒈜,,
lib2,𒆗,𒆗,𒆗,,𒄨,,,
lib3,𒊮,𒊮,𒊮,,𒊮,,,
lib4,𒅆,𒅆,𒅆,,𒅆,,,
lib5,𒊤,𒊤,,,𒊠。𒊤,,,
libi,𒈜,,,𒈜,𒈜,𒈜,,
libin,𒂱,,,𒂱,𒂱,𒂱,,
libir,𒅆𒂠,,𒅆𒂠,𒅆𒂠,𒅆𒂠,𒅆𒂠,,
libisz,𒀚,𒀚,𒀚,,,,,
libiszₓ,𒀛,𒀛,,,,,,
libit,𒁀,,,𒁀,𒁀。𒁀𒌑,𒁀,,
libiš,𒀚,,𒀚,𒀚,𒀚,𒀚,,
libišₓ,𒀛,,,𒀛,,𒀖𒊮。𒀛,,
libiₓ,,,,,,𒉌𒇻,,
lib₂,𒆗,,,𒆗,,𒆗,,
lib₃,𒊮,,,𒊮,,𒊮,,
lib₄,𒅆,,,𒅆,,𒅆,,
lib₅,𒊤,,,𒊤,,,,
lib₅?,,,,,,𒊤,,
libₓ,𒉌𒇻,,,𒉌𒇻,,𒈜𒀀。𒉌。𒉌𒇻。𒊯,,
lid,𒀖,,𒀖,𒀖,𒀖,𒀖,,
lid2,𒉌,𒉌,,,𒉌,,,
lidda,𒋖,,,𒋖,𒋖。𒋖𒄑,𒋖,,
lidda2,𒊮𒁹,𒊮𒁹,,,𒊮𒁹,,,
lidda₂,𒊮𒁹,,,𒊮𒁹,,𒊮𒁹,,
liddaₓ,𒂷𒄑,,,𒂷𒄑,,𒋖𒄑,,
lidim,𒀢,,𒀢,𒀢,𒀢,𒀢,,
lid₂,𒉌,,,𒉌,,𒉌,,
lidₓ,𒊮𒁹,,,𒊮𒁹,,𒊮𒁹,,
lig,𒌨,,,𒌨,𒌨,𒌨,,
lig2,,,,,𒋃,,,
ligidba,𒋆𒀭𒊩𒌆𒅁,,,𒋆𒀭𒊩𒌆𒅁,𒋆𒀭𒈦。𒋆𒀭𒊩𒌆𒅁,𒋆𒀭𒎏𒅁,,
ligidba2,𒋆𒀭𒈦,𒋆𒀭𒈦,,,𒋆𒀭𒈦,,,
ligidba₂,𒋆𒀭𒈦,,,𒋆𒀭𒈦,,𒋆𒀭𒈦,,
ligidbaₓ,𒀭𒊩𒌆𒅁,,,𒀭𒊩𒌆𒅁,,𒀭𒎏𒅁,,
ligim,𒅆𒌉𒌉,,,𒅆𒌉𒌉,𒅆𒌉𒌉,𒅆𒌉𒌉,,
ligima,𒅆𒌉𒌉,,𒅆𒌉𒌉,𒅆𒌉𒌉,,𒅆𒌉𒌉,,
ligimaₓ,,,,,,𒅆𒌉,,
ligin,𒅆𒌉𒌉,,,𒅆𒌉𒌉,,𒅆𒌉𒌉,,
ligiₓ,,,,,,𒉌𒇻,,
lih,𒌓,,𒌓,𒌓,,𒌓,,
lih2,𒂟,𒂟,𒂟,,,,,
lih3,𒈛,𒈛,𒈛,,,,,
lih4,𒇺,𒇺,,,,,,
lih₂,𒂟,,,𒂟,,𒎕,,
lih₃,𒈛,,,𒈛,,𒈛,,
lih₄,𒇺,,,𒇺,,,,
lih₄?,,,,,,𒇺,,
lik,𒌨,,𒌨,𒌨,𒌨,𒌨,,
lik2,𒋃,𒋃,,,𒋃,,,
liki,𒌨,,,𒌨,𒌨,𒌨,,
lik₂,𒋃,,,𒋃,,𒋃,,
likₓ,,,,,,𒈛,,
lil,𒇸,,𒇸,𒇸,𒇸,𒇸,,
lil2,𒆤,𒆤,𒆤,,𒆤,,,
lil2{ki},,,𒆤 𒆠,,,,,
lil3,𒋙𒌋𒌋𒌋,𒋙𒌋𒌋𒌋,,,𒋙𒌍,,,
lil5,𒋙𒉈,𒋙𒉈,𒋙𒉈,,𒋙𒉈,,,
lil6,𒄘,𒄘,,,𒄘,,,
lil7,𒁃,𒁃,,,,,,
lil8,𒈑,𒈑,,,𒈑,,,
lila2,𒆤,𒆤,,,,,,
lila₂,𒆤,,,𒆤,,𒆤,,
lilib,𒅆𒅆,,,𒅆𒅆,𒅆𒅆,𒅆𒅆,,
liliru,𒌩,,,𒌩,,𒌩,,
lilis,𒀗,,𒀗,𒀗,𒀗,𒀗,,
lilisₓ,,,,,,None。𒀙,,
liliz,𒀗,,𒀗,𒀗,𒀗,𒀗,,
lillan,𒈗,,,𒈗,𒈗,𒈗,,
lille,,,,,𒅆𒅆,,,
lilli,𒅆𒅆,,,𒅆𒅆,𒅆𒅆,𒅆𒅆,,
lillia,𒈗,,,𒈗,,𒈗,,
lillu,𒁃,,,𒁃,,𒁃,,
lil₂,𒆤,,𒆤,𒆤,,𒆤,,
lil₃,𒋙𒌋𒌋𒌋,,,𒋙𒌋𒌋𒌋,,𒋙𒌍,,
lil₅,𒋙𒉈,,,𒋙𒉈,,𒋙𒉈,,
lil₆,𒄘,,,𒄘,,𒄘,,
lil₇,𒁃,,,𒁃,,𒁃,,
lil₈,𒈑,,,𒈑,,𒈑,,
lilₓ,𒋘,,,𒋘,,𒆭。𒓪,,
lilₓ?,,,,,,𒋘,,
lim,𒅆,,𒅆,𒅆,𒅆,𒅆,,
lim2,𒇹,𒇹,𒇹,,𒇹。𒐂,,,
lim3,𒇴,𒇴,𒇴,,𒇴,,,
lim4,𒉈,𒉈,𒉈,,,,,
lima,𒅆,,,𒅆,,𒅆,,
limi,𒅆,,,𒅆,𒅆,𒅆,,
limmu,𒐼,,𒐼,𒐼,𒐏。𒐼,𒐼,,
limmu2,𒇹,𒇹,𒇹,,𒇹。𒐂,,,
limmu3,𒐏,𒐏,,,𒐏,,,
limmu4,𒐽,𒐽,𒐽,,𒐽,,,
limmu5,𒐉,𒐉,𒐉,,𒐉,,,
limmu6,,,,,𒑖,,,
limmu~a,,𒐾,,𒐾,,,,
limmu~b,,𒐿,,𒐿,,,,
limmu₂,𒇹,,,𒇹,,𒇹。𒐂,,
limmu₃,𒐏,,,𒐏,,𒐏,,
limmu₄,𒐽,,,𒐽,,𒀼𒀸。𒐽,,
limmu₅,𒐉,,,𒐉,,𒐉,,
limmuₓ,𒐿,𒐂。𒐿,,𒐂,,None。𒐂。𒐾。𒐿,,
limu,𒐼,,,𒐼,𒐼,𒐼,,
limu2,𒇹,𒇹,,,,,,
limu3,𒐏,𒐏,,,,,,
limu4,𒀼𒀸,𒀼𒀸,,,,,,
limu5,𒐉,𒐉,,,,,,
limu₂,𒇹,,,𒇹,,𒇹。𒐂,,
limu₃,𒐏,,,𒐏,,𒐏,,
limu₄,𒀼𒀸,,,𒀼𒀸,,𒀼𒀸,,
limu₅,𒐉,,,𒐉,,𒐉,,
lim₂,𒇹,,,𒇹,,𒇹。𒐂,,
lim₃,𒇴,,,𒇴,,𒇴,,
lim₄,𒉈,,,𒉈,,𒉈,,
limₓ,𒐉,,,𒐉,,None。𒁓。𒐉,,
lip,𒈜,,𒈜,𒈜,𒈜,𒈜,,
lip2,𒆗,𒆗,𒆗,,𒄨,,,
lip3,𒊮,𒊮,,,𒊮,,,
lipisz,𒀚,𒀚,𒀚,,,,,
lipiszₓ,𒀖𒊮,𒀖𒊮,,,,,,
lipiš,𒀚,,,𒀚,𒀚,𒀚,,
lipišₓ,𒀖𒊮,,,𒀖𒊮,,𒀖𒊮,,
lip₂,𒆗,,,𒆗,,𒆗,,
lip₃,𒊮,,,𒊮,,𒊮,,
liq,𒌨,,𒌨,𒌨,𒌨,𒌨,,
liq2,𒋃,𒋃,,,𒋃,,,
liq3,𒀀𒄷𒋛,𒀀𒄷𒋛,,,𒀀𒄷𒋛,,,
liq₂,𒋃,,,𒋃,,𒋃,,
liq₃,𒀀𒄷𒋛,,,𒀀𒄷𒋛,,𒀀𒄷𒋛,,
lir,,,,,𒉪,,,
liri,𒋗𒆗,,,𒋗𒆗,𒋗𒄨,𒋗𒆗,,
liri2,𒀸,𒀸,,,𒀸,,,
liri3,𒄒,𒄒,,,𒄒,,,
liri4,𒀉𒆗,𒀉𒆗,,,𒀉𒄨,,,
liri5,𒀉𒀸,𒀉𒀸,,,𒀉𒀸,,,
liri6,𒉫,𒉫,,,𒉫,,,
liri7,𒆙,𒆙,,,𒆙,,,
liri8,𒌩,𒌩,,,𒌩,,,
liri₂,𒀸,,,𒀸,,𒀸,,
liri₃,𒄒,,,𒄒,,𒄒,,
liri₄,𒀉𒆗,,,𒀉𒆗,,𒀉𒆗,,
liri₅,𒀉𒀸,,,𒀉𒀸,,𒀉𒀸,,
liri₆,𒉫,,,𒉫,,𒉫,,
liri₇,𒆙,,,𒆙,,𒆙,,
liri₈,𒌩,,,𒌩,,𒌩,,
liru,𒋗𒆗,,,𒋗𒆗,𒋗𒄨,𒋗𒆗,,
liru2,𒀸,𒀸,,,𒀸,,,
liru3,𒄒,𒄒,,,𒄒,,,
liru4,𒀉𒆗,𒀉𒆗,,,𒀉𒄨,,,
liru5,𒀉𒀸,𒀉𒀸,,,𒀉𒀸,,,
liru6,𒉫,𒉫,,,𒉫,,,
liru7,𒆙,𒆙,,,𒆙,,,
liru8,𒌩,𒌩,,,𒌩,,,
lirum,𒋗𒆗,,𒋗𒆗,𒋗𒆗,𒋗𒄨,𒋗𒆗,,
lirum2,𒀸,𒀸,,,𒀸,,,
lirum3,𒄒,𒄒,,,𒄒,,,
lirum4,𒀉𒆗,𒀉𒆗,,,𒀉𒄨,,,
lirum5,𒀉𒀸,𒀉𒀸,,,𒀉𒀸,,,
lirum6,𒉫,𒉫,,,𒉫,,,
lirum7,𒆙,𒆙,,,𒆙,,,
lirum8,𒌩,𒌩,,,𒌩,,,
lirum₂,𒀸,,,𒀸,,𒀸,,
lirum₃,𒄒,,,𒄒,,𒄒,,
lirum₄,𒀉𒆗,,,𒀉𒆗,,𒀉𒆗,,
lirum₅,𒀉𒀸,,,𒀉𒀸,,𒀉𒀸,,
lirum₆,𒉫,,,𒉫,,𒉫,,
lirum₇,𒆙,,,𒆙,,𒆙,,
lirum₈,𒌩,,,𒌩,,𒌩,,
lirumₓ,𒄒𒍝,,,𒄒𒍝,,𒃭。𒃹。𒄒𒍝,,
liru₂,𒀸,,,𒀸,,𒀸,,
liru₃,𒄒,,,𒄒,,𒄒,,
liru₄,𒀉𒆗,,,𒀉𒆗,,𒀉𒆗,,
liru₅,𒀉𒀸,,,𒀉𒀸,,𒀉𒀸,,
liru₆,𒉫,,,𒉫,,𒉫,,
liru₇,𒆙,,,𒆙,,𒆙,,
liru₈,𒌩,,,𒌩,,𒌩,,
lis,𒇺,,𒇺,𒇺,𒇺,𒇺,,
lisi,𒉈𒋜,,,𒉈𒋜,𒉈。𒉈𒋜,𒉈𒋜,,
lisin,𒉈𒋜,,𒉈𒋜,𒉈𒋜,𒉈𒋜,𒉈𒋜,,
lisz,𒇺,𒇺,𒇺,,,,,
lit,𒀖,,𒀖,𒀖,𒀖,𒀖,,
"lit,",𒀖,𒀖,𒀖,,,,,
"lit,2",𒂁,𒂁,,,,,,
"lit,i",𒀖,𒀖,,,,,,
liti,𒀖,,,𒀖,𒀖,𒀖,,
lium,𒄞𒀭𒈾,,,𒄞𒀭𒈾,,𒄞𒀭𒈾,,
liz,𒇺,,𒇺,𒇺,𒇺,𒇺,,
liš,𒇺,,𒇺,𒇺,𒇺,𒇺,,
lišanₓ,,,,,,𒅴,,
liḫ,,,,,𒌓,,,
liḫ2,,,,,𒂟,,,
liḫ3,,,,,𒈛,,,
liḫ4,,,,,𒇺,,,
liṭ,𒀖,,𒀖,𒀖,𒀖,𒀖,,
liṭ2,,,,,𒂁,,,
liṭi,𒀖,,,𒀖,𒀖,𒀖,,
liṭ₂,𒂁,,,𒂁,,𒂁,,
li₁₀,𒁕,,,𒁕,,𒁕,,
li₁₁,𒉣,,,𒉣,,𒉣,,
li₁₂,𒇺,,,𒇺,,𒇺,,
li₂,𒉌,,𒉌,𒉌,,𒉌,,
li₃,𒅆,,,𒅆,,𒅆,,
li₅,𒊭,,,𒊭,,𒊭,,
li₆,𒃶,,,𒃶,,𒃶,,
li₇,𒌨,,,𒌨,,𒌨,,
li₈,𒀖,,,𒀖,,𒀖,,
li₉,𒉈,,𒉈,𒉈,,𒉈,,
lu,𒇻,,𒇻,𒇻,𒇻,𒇻,,
lu&lu,,𒇻𒇻,,𒇻𒇻,,,,
lu.eš₂.gar.ki,,𒇻𒂠𒃻𒆠,,𒇻𒂠𒃻𒆠,,,,
lu.hul₂,,𒇻𒄾,,𒇻𒄾,,,,
lu.ki.gag,,,,,𒇻𒆠𒆕,,,
lu.ki.kak,,𒇻𒆠𒆕,,𒇻𒆠𒆕,,,,
lu.ḫul2,,,,,𒇻𒄾,,,
lu10,𒁖,𒁖,,,,,,
lu2,𒇽,𒇽,𒇽,,𒇽,,,
lu2#,,,𒇽,,,,,
lu2.bad,,,,,𒇽𒁁,,,
lu2.bi.lul,,,,,𒇽𒁉𒈜,,,
lu2.diš,,,,,𒇽𒁹,,,
lu2.en,,,,,𒇽𒂗,,,
lu2.gam,,,,,𒇽𒃵,,,
lu2.gan2,,,,,𒇽𒃷,,,
lu2.kam,,,,,𒇽𒄰,,,
lu2.kar2,,,,,𒇽𒃸,,,
lu2.ki,,,,,𒇽𒆠,,,
lu2.lagab,,,,,𒇽𒆸,,,
lu2.lagab.ḫu,,,,,𒇽𒆸𒄷,,,
lu2.lu2,,,,,𒇽𒇽,,,
lu2.lu2inversum,,,,,𒈓,,,
lu2.me.en,,,,,𒇽𒈨𒂗,,,
lu2.ne,,,,,𒇽𒉈,,,
lu2.ra.ra,,,,,𒇽𒊏𒊏,,,
lu2.tug2,,,,,𒇽𒌆,,,
lu2.uš,,,,,𒇽𒍑,,,
lu2.uš2,,,,,𒇽𒍗,,,
lu2.še,,,,,𒇽𒊺,,,
lu2.šu2,,,,,𒇽𒋙,,,
lu2_,,,𒇽,,,,,
lu2crossinglu2,,,,,𒈒,,,
lu2opposinglu2,,,,,𒈓,,,
lu2overlu2,,,,,𒇽𒇽,,,
lu2squared,,,,,𒈔,,,
lu2tenû,,,,,𒈑,,,
lu2xal,,,,,𒇾,,,
lu2xbad,,,,,𒇿,,,
lu2xeš2tenû,,,,,𒈁,,,
lu2xgan2tenû,,,,,𒈂,,,
lu2xim,,,,,𒈄,,,
lu2xkad2,,,,,𒈅,,,
lu2xkad3.aš,,,,,𒈇,,,
lu2xkad3?,,,,,𒈆,,,
lu2xkam,,,,,𒈃,,,
lu2xkar2,,,,,𒈂,,,
lu2xki,,,,,𒈈,,,
lu2xla.aš,,,,,𒈉,,,
lu2xlagab,,,,,𒈊,,,
lu2xme.en,,,,,𒈋,,,
lu2xne,,,,,𒈌,,,
lu2xnu,,,,,𒈍,,,
lu2xsi.aš,,,,,𒈎,,,
lu2xsik2.bu,,,,,𒈏,,,
lu2xtug2,,,,,𒈐,,,
lu2xše3,,,,,𒈀,,,
lu2xše3.lal,,,,,𒈀𒇲,,,
lu2xše3tenû,,,,,𒈁,,,
lu2xḫixbad,,,,,𒈃,,,
lu2šeššig,,,,,𒈕,,,
lu3,𒈖,𒈖,𒈖,,𒈖,,,
lu4,𒈝,𒈝,𒈝,,𒈝,,,
lu5,𒈜,𒈜,𒈜,,𒈜,,,
lu6,𒌨,𒌨,,,𒌨,,,
lu7,𒍇,𒍇,𒍇,,𒍇,,,
lu8,𒌷,𒌷,,,𒌷,,,
lu9,𒉺,𒉺,,,𒉺,,,
lub,𒈜,,𒈜,𒈜,𒈜,𒈜,,
lubduₓ,,,,,,𒅻,,
lubud,,,,,𒁶,,,
lubun,𒂲,,𒂲,𒂲,𒂲,𒂲,,
lubširₓ,,,,,,XX。𒇻𒇻𒂠𒂠。𒋓𒇻X𒇻𒋢,,
lubₓ,,,,,,None。𒇻。𒈝,,
lud,𒂁,,𒂁,𒂁,𒂁,𒂁,,
ludₓ,,,,,,𒄧,,
lug,𒇻,,𒇻,𒇻,𒇻,𒇻,,
lug2,𒉺,𒉺,,,𒉺,,,
luga,𒉺𒂷,,,𒉺𒂷,𒉺𒂷,𒉺𒂷,,
lugal,𒈗,,𒈗,𒈗,𒈗,𒈗,,
lugal#,,,𒈗,,,,,
lugal#?,,,𒈗,,,,,
lugal%lugal,,𒈙,,𒈙,,,,
lugal&lugal,,𒈘,𒈘,𒈘,,,,
lugal.gam,,𒈗𒃵,,𒈗𒃵,,,,
lugal.gan,,𒈗𒃶,,𒈗𒃶,𒈗𒃶,,,
lugal.hi×bad,,𒈗𒄰,,𒈗𒄰,,,,
lugal.kamv,,,,,𒈗𒆚,,,
lugal.lugalinversum,,,,,𒈙,,,
lugal@lugal,,𒈙,𒈙,𒈙,,,,
lugal@s,,𒈚,,𒈚,,,,
lugal_,,,𒈗,,,,,
lugala,𒈗,,,𒈗,𒈗,𒈗,,
lugalopposinglugal,,,,,𒈙,,,
lugaloverlugal,,,,,𒈘,,,
lugalšeššig,,,,,𒈚,,,
lugam,𒈕,,,𒈕,,𒇽𒃶,,
lugud,𒁁𒌓,,,𒁁𒌓,𒁁𒌓,𒁁𒌓,,
lugud2,𒆸,𒆸,𒆸,,𒆸,,,
lugud3,𒈟,𒈟,𒈟,,𒈟,,,
lugud4,𒇮,𒇮,,,𒇮,,,
lugud₂,𒆸,,,𒆸,,𒆸,,
lugud₃,𒈟,,,𒈟,,𒈟,,
lugud₄,𒇮,,,𒇮,,𒇮,,
lugudₓ,,,,,,None,,
luguruš,,,,,𒇽𒍑,,,
luguₓ,,,,,,𒄭,,
lug₂,𒉺,,,𒉺,,𒉺,,
lugₓ,𒈜,,,𒈜,,𒇴。𒈜,,
luh,𒈛,,𒈛,𒈛,,𒈛,,
luhmaₓ,,,,,,𒄑𒈪,,
luhsza,𒄴𒈨𒌋,𒄴𒈨𒌋,,,,,,
luhszaₓ,𒋨𒈨,𒋨𒈨,,,,,,
luhszu,𒄴𒈨𒌋,𒄴𒈨𒌋,,,,,,
luhu,𒈛,,,𒈛,,𒈛,,
luhum,𒈝𒈝,,,𒈝𒈝,,,,
luhum?,,,,,,𒈝𒈝,,
luhummu,𒄑𒈪,,,𒄑𒈪,,𒄑𒈪,,
luhumₓ,𒄑𒈪,,,𒄑𒈪,,,,
luhumₓ?,,,,,,𒄑𒈪,,
luhša,𒄴𒈨𒌋,,,𒄴𒈨𒌋,,𒇱,,
luhšaₓ,𒋨𒈨,,,𒋨𒈨,,𒋨𒈨,,
luhšu,𒄴𒈨𒌋,,,𒄴𒈨𒌋,,𒇱,,
luhₓ,𒌓,,,𒌓,,𒌓,,
lukur,𒊩𒈨,,𒊩𒈨,𒊩𒈨,𒊩𒈨,𒊩𒈨,,
lukurₓ,,,,,,𒋖𒄑𒈨,,
lukₓ,,,,,,𒈜,,
lul,𒈜,,𒈜,𒈜,𒈜,𒈜,,
lul.a,,𒈜𒀀,,𒈜𒀀,𒈜𒀀,,,
lul.balag,,𒈜𒁆,,𒈜𒁆,𒈜𒁆,,,
lul.dub2,,,,,𒈜𒂀,,,
lulim,𒄎,,𒄎,𒄎,𒄎,𒄎,,
lulima,𒄎,,,𒄎,𒄎,𒄎,,
lulu,𒈜,,,𒈜,𒈜,𒈜,,
lul{ku6},,,𒈜 𒄩,,,,,
lulₓ,,,,,,𒈜𒀀,,
lum,𒈝,,𒈝,𒈝,𒈝。𒋞,𒈝,,
lum%lum,,𒈞,,𒈞,,,,
lum&lum,,𒈞,𒈞,𒈞,,,,
lum&lum.du@s,,𒈞𒁽,,𒈞𒁽,,,,
lum&lum.gar&gar,,𒈟,,𒈟,,,,
lum&lum.šu₂,,𒈞𒋙,,𒈞𒋙,,,,
lum.lum,,𒈝𒈝,,𒈝𒈝,𒈝𒈝,,,
lum2,𒅆,𒅆,𒅆,,𒅆,,,
lum3,𒂁,𒂁,𒂁,,𒂁,,,
lum4,,,,,𒇴,,,
luma,𒈝,,,𒈝,,𒈝,,
lumašₓ,,,,,,𒊨,,
lumgi,𒋆,,,𒋆,𒋆。𒋋,𒋆,,
lumgi2,𒋇,𒋇,,,𒋇,,,
lumgi3,𒋋,𒋋,,,𒋋,,,
lumgi₂,𒋇,,,𒋇,,𒋇,,
lumgi₃,𒋋,,,𒋋,,𒋋,,
lumha,𒁆,,,𒁆,,𒁆,,
lumhaₓ,𒂕,,,𒂕,,𒂕,,
lumoverlum,,,,,𒈞,,,
lumoverlum.garovergar,,,,,𒈟,,,
lumoverlum.nig2overnig2,,,,,𒈟,,,
lumoverlum.šu2,,,,,𒈞𒋙,,,
lumoverlum.šu2.a,,,,,𒈞𒋙𒀀,,,
lumu,𒈝,,,𒈝,𒈝,𒈝,,
lumu3,𒂁,𒂁,,,𒂁,,,
lumu₃,𒂁,,,𒂁,,𒂁,,
lum×zu&zu,,𒈝𒍪𒍪,,𒈝𒍪𒍪,,,,
lumḫa,,,,,𒂀,,,
lumḫa2,,,,,𒂕,,,
lum₂,𒅆,,,𒅆,,𒅆,,
lum₃,𒂁,,,𒂁,,𒂁,,
lum₄,,,,,,𒇴,,
lumₓ,𒕇,,,𒕇,,𒂁𒂁。𒈱,,
lumₓ?,,,,,,𒕂,,
lun,𒉺,,,𒉺,𒉺,𒉺,,
lunga,𒋆,,𒋆,𒋆,𒋆。𒋇,𒋆,,
lunga2,𒋇,𒋇,,,𒋇,,,
lunga3,𒋋,𒋋,,,𒋋,,,
lunga₂,𒋇,,,𒋇,,𒋇,,
lunga₃,𒋋,,,𒋋,,𒋋,,
lungaₓ,𒁋,,,𒁋,,None。𒁉𒁯。𒁋。󰂑,,
lungi,,,,,𒋋,,,
lup,𒈜,,,𒈜,𒈜,𒈜,,
lurₓ,,,,,,𒉪,,
lut,𒂁,,𒂁,𒂁,𒂁,𒂁,,
"lut,",𒂁,𒂁,𒂁,,,,,
"lut,u",𒂁,𒂁,,,,,,
lutu,𒂁,,,𒂁,𒂁,𒂁,,
luxbad,,,,,𒇼,,,
lu×bad,,𒇼,,𒇼,,,,
luŋ2,𒉺,𒉺,,,,,,
luŋa,𒉺𒂷,,,𒉺𒂷,,𒉺𒂷,,
luŋa2,𒉺,𒉺,,,,,,
luŋa₂,𒉺,,,𒉺,,𒉺,,
luŋ₂,𒉺,,,𒉺,,𒉺,,
luḫ,,,𒈛,,𒈛,,,
luḫu,,,,,𒈛,,,
luḫum,,,,,𒈝𒈝,,,
luḫummu,,,,,𒄑𒈪,,,
luḫša,,,,,𒄴𒈨𒌋,,,
luḫšu,,,𒄴𒈨𒌋,,𒄴𒈨𒌋,,,
luṭ,𒂁,,𒂁,𒂁,𒂁,𒂁,,
luṭu,𒂁,,,𒂁,𒂁,𒂁,,
lu₁₀,𒁖,,,𒁖,,𒁖X,,
lu₂,𒇽,,𒇽,𒇽,,𒇽,,
lu₂%lu₂,,𒈒,,𒈒,,,,
lu₂&lu₂,,𒇽𒇽,,𒇽𒇽,,,,
lu₂.diš,,𒇽𒁹,,𒇽𒁹,,,,
lu₂.en,,𒇽𒂗,,𒇽𒂗,,,,
lu₂.ki,,𒇽𒇽𒇽𒇽,,𒇽𒇽𒇽𒇽,,,,
lu₂.lagab×u,,𒔞,,𒔞,,,,
lu₂.lu₂,,𒇽𒇽,,𒇽𒇽,,,,
lu₂.me.en,,𒇽𒈨𒂗,,𒇽𒈨𒂗,,,,
lu₂.su,,𒇻𒋢,,𒇻𒋢,,,,
lu₂.su.a,,𒇻𒋢𒀀,,𒇻𒋢𒀀,,,,
lu₂@g.uš₂,,𒍗,,𒍗,,,,
lu₂@lu₂,,𒈓,,𒈓,,,,
lu₂@s,,𒈕,,𒈕,,,,
lu₂@s.na,,𒈕𒈾,,𒈕𒈾,,,,
lu₂@t,,𒈑,,𒈑,,,,
lu₂~v,,,,,,,,
lu₂×(kad₃.aš),,𒈇,,𒈇,,,,
lu₂×(la.aš),,𒈉,,𒈉,,,,
lu₂×(me.en),,𒈋,,𒈋,,,,
lu₂×(si.aš),,𒈎,,𒈎,,,,
lu₂×(sik₂.bu),,𒈏,,𒈏,,,,
lu₂×al,,𒇾,,𒇾,,,,
lu₂×aš₂,,𒔟,,𒔟,,,,
lu₂×bad,,𒇿,,𒇿,,,,
lu₂×eš₂,,𒈁,,𒈁,,,,
lu₂×eš₂.lal,,𒈀𒇲,,𒈀𒇲,,,,
lu₂×eš₂@t,,𒈁,,𒈁,,,,
lu₂×gan₂@t,,𒈂,,𒈂,,,,
lu₂×hi×bad,,𒈃,,𒈃,,,,
lu₂×im,,𒈄,,𒈄,,,,
lu₂×kad₂,,𒈅,,𒈅,,,,
lu₂×kad₃,,𒈆,,𒈆,,,,
lu₂×ki,,𒈈,,𒈈,,,,
lu₂×lagab,,𒈊,,𒈊,,,,
lu₂×ne,,𒈌,,𒈌,,,,
lu₂×nu,,𒈍,,𒈍,,,,
lu₂×tug₂,,𒈐,,𒈐,,,,
lu₂×šu,,𒔢,,𒔢,,,,
lu₃,𒈖,,𒈖,𒈖,,𒈖,,
lu₃.pap.pap,,𒁈𒉽𒉽,,𒁈𒉽𒉽,,,,
lu₄,𒈝,,𒈝,𒈝,,𒈝,,
lu₅,𒈜,,,𒈜,,𒈜,,
lu₆,𒌨,,,𒌨,,𒌨,,
lu₇,𒍇,,,𒍇,,𒍇,,
lu₇⁻,,𒍇,,𒍇,,𒔍,,
lu₈,𒌷,,,𒌷,,𒌷,,
lu₉,𒉺,,,𒉺,,𒉺,,
luₓ,𒇲,,,𒇲,,𒇲。𒋣𒊬。𒒫,,
làḫ,,,𒈛,,,,,
lá,,,𒇲,,,,,
lál,,,𒇳,,,,,
lám,,,𒉈,,,,,
láḫtan,,,𒉶,,,,,
lé,,,𒉌,,,,,
lìb,,,𒊮,,,,,
lìb],,,𒊮,,,,,
lìl,,,𒋙𒌋𒌋𒌋,,,,,
lí,,,𒉌,,,,,
líb,,,𒆗,,,,,
líl,,,𒆤,,,,,
lím,,,𒇹,,,,,
límmu,,,𒇹,,,,,
líp,,,𒆗,,,,,
líḫ,,,𒂟,,,,,
lù,,,𒈖,,,,,
lùgud,,,𒈟,,,,,
lú,,,𒇽,,,,,
lāsimu,𒁽,,,𒁽,,,,
m,𒁹,,𒁹,𒁹,,𒁹,,
m[at,,,𒆳,,,,,
m[e,,,𒈨,,,,,
m[e]d,,,𒁁,,,,,
m[eš,,,𒈨𒌍,,,,,
m[eš],,,𒈨𒌍,,,,,
m[i]r,,,𒂇,,,,,
m]a,,,𒈠,,,,,
ma,𒈠,,𒈠,𒈠,𒈠,𒈠,,
ma me mi mu,,,𒈠 𒈨 𒈪 𒈬,,,,,
ma#,,,𒈠,,,,,
ma10,,,,,𒌋𒌋,,,
ma2,𒈣,𒈣,𒈣,,𒈣,,,
ma2.kaskal,,,,,𒍚,,,
ma2.kaskal.sig7andsimilar,,,,,𒋪,,,
ma2.mug,,,,,𒈣𒈮,,,
ma2.sig7andsimilar,,,,,𒈣𒅊,,,
ma3,𒂷,𒂷,𒂷,,𒂷,,,
ma4,𒊬,𒊬,,,𒊬,,,
ma5,𒅡,𒅡,𒅡,,𒅡,,,
ma6,𒈨,𒈨,,,𒈨,,,
ma7,𒈦,𒈦,,,𒈦,,,
ma8,𒅿,𒅿,,,𒅿,,,
ma9,𒉿,𒉿,,,𒉿,,,
ma@g,,𒈢,𒈢,𒈢,,,,
ma@g×tak₄,,𒈡,,𒈡,,,,
ma],,,𒈠,,,,,
ma]š,,,𒈦,,,,,
ma_,,,𒈠,,,,,
mabi,𒈹𒁲,,,𒈹𒁲,𒈻,𒈻,,
mabi2,𒈹𒁲,𒈹𒁲,𒀀𒈹𒁲,,𒀀𒈹𒁲。𒍝𒈹𒁲,,,
